id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
49503,1,0,0,0,0,0,0,0,0
49504,1,0,0,0,0,0,0,0,0
49505,1,0,0,0,0,0,0,0,0
49506,1,0,0,0,0,0,0,0,0
49507,1,0,0,0,0,0,0,0,0
49508,1,0,0,0,0,0,0,0,0
49509,1,0,0,0,0,0,0,0,0
49510,1,0,0,0,0,0,0,0,0
49511,1,0,0,0,0,0,0,0,0
49512,1,0,0,0,0,0,0,0,0
49513,1,0,0,0,0,0,0,0,0
49514,1,0,0,0,0,0,0,0,0
49515,1,0,0,0,0,0,0,0,0
49516,1,0,0,0,0,0,0,0,0
49517,1,0,0,0,0,0,0,0,0
49518,1,0,0,0,0,0,0,0,0
49519,1,0,0,0,0,0,0,0,0
49520,1,0,0,0,0,0,0,0,0
49521,1,0,0,0,0,0,0,0,0
49522,1,0,0,0,0,0,0,0,0
49523,1,0,0,0,0,0,0,0,0
49524,1,0,0,0,0,0,0,0,0
49525,1,0,0,0,0,0,0,0,0
49526,1,0,0,0,0,0,0,0,0
49527,1,0,0,0,0,0,0,0,0
49528,1,0,0,0,0,0,0,0,0
49529,1,0,0,0,0,0,0,0,0
49530,1,0,0,0,0,0,0,0,0
49531,1,0,0,0,0,0,0,0,0
49532,1,0,0,0,0,0,0,0,0
49533,1,0,0,0,0,0,0,0,0
49534,1,0,0,0,0,0,0,0,0
49535,1,0,0,0,0,0,0,0,0
49536,1,0,0,0,0,0,0,0,0
49537,1,0,0,0,0,0,0,0,0
49538,1,0,0,0,0,0,0,0,0
49539,1,0,0,0,0,0,0,0,0
49540,1,0,0,0,0,0,0,0,0
49541,1,0,0,0,0,0,0,0,0
49542,1,0,0,0,0,0,0,0,0
49543,1,0,0,0,0,0,0,0,0
49544,1,0,0,0,0,0,0,0,0
49545,1,0,0,0,0,0,0,0,0
49546,1,0,0,0,0,0,0,0,0
49547,1,0,0,0,0,0,0,0,0
49548,1,0,0,0,0,0,0,0,0
